01 08 15 22 29 36
02 09 16 23 30 37
03 10 17 24 31 38
04 11 18 25 32 39
05 12 19 26 33 40
06 13 20 27 34 41
07 14 21 28 35 42

01 09 17 25 33 41
02 10 18 26 34 42
03 11 19 27 35 36
04 12 20 28 29 37
05 13 21 22 30 38
06 14 15 23 31 39
07 08 16 24 32 40

01 10 19 28 30 39
02 11 20 22 31 40
03 12 21 23 32 41
04 13 15 24 33 42
05 14 16 25 34 36
06 08 17 26 35 37
07 09 18 27 29 38

01 11 21 24 34 37
02 12 15 25 35 38
03 13 16 26 29 39
04 14 17 27 30 40
05 08 18 28 31 41
06 09 19 22 32 42
07 10 20 23 33 36

01 12 16 27 31 42
02 13 17 28 32 36
03 14 18 22 33 37
04 08 19 23 34 38
05 09 20 24 35 39
06 10 21 25 29 40
07 11 15 26 30 41

01 13 18 23 35 40
02 14 19 24 29 41
03 08 20 25 30 42
04 09 21 26 31 36
05 10 15 27 32 37
06 11 16 28 33 38
07 12 17 22 34 39

01 14 20 36 32 38
02 08 21 27 33 39
03 09 15 28 34 40
04 10 16 22 35 41
05 11 17 23 29 42
06 12 18 24 30 36
07 13 19 25 31 37

01 03 04 05 06 07

